Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,AD_Won,AD_Lost,AD_Won%
1465,Dejan Lovren\Dejan-Lovren,hr CRO,DF,Liverpool,eng Premier League,30,1989,8.6,1,0,0,4,8,0,0,8,9,0,0,0,107,39,21,65
1466,Eduard Löwen\Eduard-Lowen,de GER,MFFW,Augsburg,de Bundesliga,22,1997,7.5,0,0,0,11,13,2,7,2,10,0,0,0,53,14,20,41.2
1467,Eduard Löwen\Eduard-Lowen,de GER,MF,Hertha BSC,de Bundesliga,22,1997,3.5,0,0,0,4,2,0,2,7,6,0,0,0,35,5,2,71.4
1468,Matthew Lowton\Matthew-Lowton,eng ENG,DF,Burnley,eng Premier League,30,1989,17,2,0,0,14,11,0,28,16,24,0,1,0,135,24,14,63.2
1469,Hirving Lozano\Hirving-Lozano,mx MEX,FW,Napoli,it Serie A,24,1995,11.4,3,0,0,22,36,6,34,3,7,0,0,0,60,10,16,38.5
1470,Pol Lozano\Pol-Lozano,es ESP,MFFW,Espanyol,es La Liga,19,1999,1.9,0,1,0,7,0,0,0,0,4,0,0,0,25,2,0,100
1471,Jan Luca Rumpf\Jan-Luca-Rumpf,de GER,DF,Paderborn 07,de Bundesliga,20,1999,1,0,0,0,1,1,0,0,1,3,0,0,0,10,2,4,33.3
1472,Lucas\Lucas,br BRA,MF,Hoffenheim,de Bundesliga,20,1999,0.7,1,0,0,1,2,0,0,1,0,0,0,0,7,0,0,
1473,Jean Lucas\Jean-Lucas,br BRA,MF,Lyon,fr Ligue 1,21,1998,2.2,3,0,0,7,5,0,3,4,9,0,0,0,25,1,7,12.5
1474,Fabio Lucioni\Fabio-Lucioni,it ITA,DF,Lecce,it Serie A,31,1987,34.8,8,1,0,20,15,0,3,30,29,0,2,1,270,63,48,56.8
1475,José Luis Gayà\Jose-Luis-Gaya,es ESP,DF,Valencia,es La Liga,24,1995,22.1,5,0,0,16,29,2,70,10,24,1,0,0,147,19,32,37.3
1476,José Luis Morales\Jose-Luis-Morales,es ESP,FWMF,Levante,es La Liga,32,1987,28,3,0,0,17,15,15,72,11,7,0,0,0,134,16,22,42.1
1477,José Luis Palomino\Jose-Luis-Palomino,ar ARG,DF,Atalanta,it Serie A,29,1990,27.6,5,0,0,48,19,1,7,33,51,0,1,0,339,83,39,68
1478,José Luis Rodríguez\Jose-Luis-Rodriguez,pa PAN,FW,Alavés,es La Liga,21,1998,0.2,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0
1479,David Luiz\David-Luiz,br BRA,DF,Arsenal,eng Premier League,32,1987,31.2,5,2,0,30,14,1,5,19,20,0,3,0,210,58,34,63
1480,Douglas Luiz\Douglas-Luiz,br BRA,MF,Aston Villa,eng Premier League,21,1998,29,8,0,0,51,36,0,17,21,33,0,1,0,320,32,33,49.2
1481,Jordan Lukaku\Jordan-Lukaku,be BEL,DF,Lazio,it Serie A,25,1994,4.4,2,0,0,6,1,1,15,0,3,0,0,0,28,2,1,66.7
1482,Romelu Lukaku\Romelu-Lukaku,be BEL,FW,Inter,it Serie A,26,1993,33.1,2,0,0,47,20,23,31,2,4,0,0,0,106,83,73,53.2
1483,Dodi Lukebakio\Dodi-Lukebakio,be BEL,FWMF,Hertha BSC,de Bundesliga,21,1997,22.6,2,0,0,26,27,10,44,8,22,0,0,0,137,20,35,36.4
1484,Saša Lukić\Sasa-Lukic,rs SRB,MF,Torino,it Serie A,22,1996,20.7,5,1,0,43,21,2,12,17,31,0,1,0,171,19,44,30.2
1485,Senad Lulić\Senad-Lulic,ba BIH,DF,Lazio,it Serie A,33,1986,17.5,6,0,0,28,11,7,61,12,24,0,0,0,162,16,11,59.3
1486,John Lundstram\John-Lundstram,eng ENG,MF,Sheffield Utd,eng Premier League,25,1994,27.3,5,0,0,28,12,7,33,18,33,0,0,0,235,26,35,42.6
1487,Sebastiano Luperto\Sebastiano-Luperto,it ITA,DF,Napoli,it Serie A,22,1996,5.9,2,0,0,7,1,0,4,2,8,0,0,0,51,6,11,35.3
1488,Arnaud Lusamba\Arnaud-Lusamba,fr FRA,MFFW,Nice,fr Ligue 1,22,1997,10.9,1,0,0,10,22,1,6,4,16,0,0,0,68,5,12,29.4
1489,Andreas Luthe\Andreas-Luthe,de GER,GK,Augsburg,de Bundesliga,32,1987,10,0,0,0,0,2,0,0,0,0,0,0,0,74,0,0,
1490,Lyanco\Lyanco,br BRA,DF,Torino,it Serie A,22,1997,13.1,5,0,0,14,13,1,4,15,15,0,0,1,124,19,16,54.3
1491,Charalambos Lykogiannis\Charalambos-Lykogiannis,gr GRE,DF,Cagliari,it Serie A,25,1993,14.9,4,0,0,21,14,3,32,15,12,0,1,0,100,26,25,51
1492,Yann M'Vila\Yann-MVila,fr FRA,MFDF,Saint-Étienne,fr Ligue 1,29,1990,21.6,1,0,0,15,16,0,0,28,21,0,1,0,262,33,19,63.5
1493,Alexis Mac Allister\Alexis-Mac-Allister,ar ARG,MFFW,Brighton,eng Premier League,20,1998,3.9,0,0,0,4,4,1,9,2,4,0,0,0,31,4,4,50
1494,Darwin Machís\Darwin-Machis,ve VEN,FWMF,Granada,es La Liga,26,1993,23.7,5,0,0,43,43,12,76,12,19,0,0,0,153,19,39,32.8
1495,Yvann Macon\Yvann-Macon,fr FRA,DF,Saint-Étienne,fr Ligue 1,20,1998,1.1,1,0,0,1,3,0,1,1,2,0,0,0,12,3,0,100
1496,James Maddison\James-Maddison,eng ENG,MF,Leicester City,eng Premier League,22,1996,29.2,4,0,0,36,88,4,65,12,39,0,0,0,218,6,29,17.1
