Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR
79,Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,eng Premier League,23,1994,9,7,641,0,0,0,0,2,0
80,Jordi Amat\Jordi-Amat,es ESP,DF,Rayo Vallecano,es La Liga,26,1992,31,31,2763,0,0,0,0,9,0
81,Amath\Amath,sn SEN,MFFW,Getafe,es La Liga,22,1996,15,13,1002,1,2,0,0,4,0
82,Jordan Amavi\Jordan-Amavi,fr FRA,DF,Marseille,fr Ligue 1,24,1994,28,24,2177,0,2,0,0,7,2
83,Kelvin Amian\Kelvin-Amian,fr FRA,DF,Toulouse,fr Ligue 1,20,1998,32,32,2880,0,1,0,0,6,0
84,Nadiem Amiri\Nadiem-Amiri,de GER,MFFW,Hoffenheim,de Bundesliga,21,1996,13,10,754,3,1,0,0,1,0
85,Yanis Ammour\Yanis-Ammour,fr FRA,MF,Montpellier,fr Ligue 1,19,1999,1,0,2,0,0,0,0,0,0
86,Luke Amos\Luke-Amos,eng ENG,MF,Tottenham,eng Premier League,21,1997,1,0,3,0,0,0,0,0,0
87,Joachim Andersen\Joachim-Andersen,dk DEN,DF,Sampdoria,it Serie A,22,1996,32,32,2880,0,1,0,0,7,0
88,Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,eng Premier League,25,1993,36,36,3043,9,4,0,0,3,0
89,Florin Andone\Florin-Andone,ro ROU,FW,Brighton,eng Premier League,25,1993,23,8,881,3,0,0,0,5,0
90,Benjamin André\Benjamin-Andre,fr FRA,MF,Rennes,fr Ligue 1,27,1990,30,28,2495,3,1,0,0,8,1
91,Marco Andreolli\Marco-Andreolli,it ITA,DF,Cagliari,it Serie A,32,1986,3,1,106,0,0,0,0,1,0
92,Marco Andreolli\Marco-Andreolli,it ITA,DF,Chievo,it Serie A,32,1986,8,7,646,0,0,0,0,2,0
93,Yoann Andreu\Yoann-Andreu,fr FRA,DF,Angers,fr Ligue 1,29,1989,1,0,4,0,0,0,0,0,0
94,Miguel Ángel Moyá\Miguel-Angel-Moya,es ESP,GK,Real Sociedad,es La Liga,34,1984,11,11,990,0,0,0,0,1,0
95,José Ángel\Jose-Angel,es ESP,DF,Eibar,es La Liga,28,1989,35,34,3028,1,1,0,0,10,0
96,Cristian Ansaldi\Cristian-Ansaldi,ar ARG,DFMF,Torino,it Serie A,31,1986,24,23,1807,3,2,0,0,3,0
