Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp_S,Att_S,Cmp%_S,Cmp_M,Att_M,Cmp%_M,Cmp_L,Att_L,Cmp%_L,Ast,KP,pass13,PPA,CrsPA,Prog
17,Yacine Adli\Yacine-Adli,fr FRA,MFFW,Bordeaux,fr Ligue 1,18,2000,2.4,111,151,73.5,1935,591,3,5,60,92,117,78.6,16,29,55.2,0,6,13,3,1,18
18,Ali Adnan Kadhim\Ali-Adnan-Kadhim,iq IRQ,MFDF,Atalanta,it Serie A,24,1993,1.8,78,123,63.4,1504,612,1,6,16.7,60,83,72.3,17,34,50,0,3,6,2,1,15
19,Aritz Aduriz\Aritz-Aduriz,es ESP,FW,Athletic Club,es La Liga,37,1981,10.5,149,237,62.9,2052,331,6,11,54.5,130,198,65.7,13,28,46.4,0,5,10,3,1,9
20,Luis Advíncula\Luis-Advincula,pe PER,DF,Rayo Vallecano,es La Liga,28,1990,26.5,980,1204,81.4,17749,6575,7,39,17.9,811,908,89.3,162,257,63,3,15,55,24,13,145
21,Martin Agirregabiria\Martin-Agirregabiria,es ESP,DF,Alavés,es La Liga,22,1996,22.6,673,968,69.5,11708,5682,5,33,15.2,565,689,82,103,246,41.9,0,8,63,14,5,149
22,Nayef Aguerd\Nayef-Aguerd,ma MAR,DF,Dijon,fr Ligue 1,22,1996,11.7,452,577,78.3,10088,4103,4,12,33.3,301,334,90.1,147,231,63.6,0,2,37,3,1,34
23,Sergio Agüero\Sergio-Aguero,ar ARG,FW,Manchester City,eng Premier League,30,1988,27.3,665,785,84.7,9245,1686,27,45,60,592,678,87.3,46,62,74.2,8,34,37,44,1,68
24,Ruben Aguilar\Ruben-Aguilar,fr FRA,DFMF,Montpellier,fr Ligue 1,25,1993,28.1,1328,1642,80.9,22716,9218,9,45,20,1125,1278,88,194,319,60.8,4,46,77,47,24,247
25,Juan Aguilera\Juan-Aguilera,es ESP,MF,Huesca,es La Liga,32,1985,3.8,163,185,88.1,2694,771,0,0,,140,152,92.1,23,33,69.7,0,1,16,3,1,12
26,Emmanuel Agyemang-Badu\Emmanuel-Agyemang-Badu,gh GHA,MF,Udinese,it Serie A,27,1990,1.8,26,31,83.9,475,61,1,2,50,19,23,82.6,6,6,100,0,1,1,0,0,0
27,Jean-Eudes Aholou\Jean-Eudes-Aholou,ci CIV,MF,Monaco,fr Ligue 1,24,1994,11.9,465,552,84.2,8682,2135,9,14,64.3,363,410,88.5,93,128,72.7,1,4,48,4,0,54
28,Antonis Aidonis\Antonis-Aidonis,de GER,DF,Stuttgart,de Bundesliga,17,2001,0.9,14,34,41.2,276,169,0,3,0,10,21,47.6,4,10,40,0,0,2,2,1,7
29,Ola Aina\Ola-Aina,ng NGA,DFMF,Torino,it Serie A,21,1996,24,845,1160,72.8,14588,6204,19,57,33.3,674,803,83.9,152,300,50.7,3,24,52,31,14,150
30,Youssef Aït Bennasser\Youssef-Ait-Bennasser,ma MAR,MF,Saint-Étienne,fr Ligue 1,22,1996,10.4,580,664,87.3,11601,2501,7,18,38.9,429,478,89.7,144,168,85.7,0,8,45,7,2,59
